name,stargazers_count,language,html_url,description
freeCodeCamp,337412,JavaScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
996.ICU,260188,Rust,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
free-programming-books,215860,,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books
coding-interview-university,201281,,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.
vue,191356,JavaScript,https://github.com/vuejs/vue,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
developer-roadmap,180688,TypeScript,https://github.com/kamranahmedse/developer-roadmap,Roadmap to becoming a developer in 2021
awesome,180211,,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics
react,179285,JavaScript,https://github.com/facebook/react,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
public-apis,171711,Python,https://github.com/public-apis/public-apis,A collective list of free APIs
tensorflow,161288,C++,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone
system-design-primer,154538,Python,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
bootstrap,154420,JavaScript,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
You-Dont-Know-JS,147375,,https://github.com/getify/You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.
CS-Notes,143527,Java,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
ohmyzsh,138002,Shell,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 1900+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
flutter,133377,Dart,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
javascript-algorithms,129421,JavaScript,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
gitignore,127346,,https://github.com/github/gitignore,A collection of useful .gitignore templates
Python,125598,Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python
build-your-own-x,125443,,https://github.com/danistefanovic/build-your-own-x,🤓 Build your own (insert technology here)
javascript,117235,JavaScript,https://github.com/airbnb/javascript,JavaScript Style Guide
JavaGuide,114682,Java,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
Python-100-Days,113189,Python,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师
awesome-python,110155,Python,https://github.com/vinta/awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources"
computer-science,103547,,https://github.com/ossu/computer-science,:mortar_board: Path to a free self-taught education in Computer Science!
youtube-dl,103299,Python,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites
the-art-of-command-line,100451,,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page"
react-native,99923,JavaScript,https://github.com/facebook/react-native,A framework for building native applications using React
fucking-algorithm,99668,Markdown,https://github.com/labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
d3,99602,JavaScript,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
electron,99369,C++,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
go,93389,Go,https://github.com/golang/go,The Go programming language
create-react-app,92194,JavaScript,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.
axios,89840,JavaScript,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js
30-seconds-of-code,89097,JavaScript,https://github.com/30-seconds/30-seconds-of-code,Short JavaScript code snippets for all your development needs
free-programming-books-zh_CN,85404,,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿
deno,79278,Rust,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.
terminal,79182,C++,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!"
angular,78297,TypeScript,https://github.com/angular/angular,The modern web developer’s platform
three.js,76968,JavaScript,https://github.com/mrdoob/three.js,JavaScript 3D Library.
TypeScript,76677,TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
ant-design,76481,TypeScript,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library
puppeteer,75185,TypeScript,https://github.com/puppeteer/puppeteer,Headless Chrome Node.js API
material-ui,73710,JavaScript,https://github.com/mui-org/material-ui,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with Material Design."
animate.css,73059,CSS,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.
vue-element-admin,73026,Vue,https://github.com/PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
nodebestpractices,72708,JavaScript,https://github.com/goldbergyoni/nodebestpractices,:white_check_mark:  The Node.js best practices list (December 2021)
awesome-go,72311,Go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software"
models,72270,Python,https://github.com/tensorflow/models,Models and examples built with TensorFlow
java-design-patterns,71912,Java,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java
awesome-selfhosted,70907,JavaScript,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers
LeetCodeAnimation,68134,Java,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
laravel,67685,PHP,https://github.com/laravel/laravel,A PHP framework for web artisans.
storybook,67309,TypeScript,https://github.com/storybookjs/storybook,"📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!"
Font-Awesome,66925,JavaScript,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit"
thefuck,65107,Python,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.
PowerToys,64992,C#,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity
awesome-vue,63344,,https://github.com/vuejs/awesome-vue,🎉 A curated list of awesome things related to Vue.js
realworld,62596,Shell,https://github.com/gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more 🏅"
tech-interview-handbook,62344,JavaScript,https://github.com/yangshun/tech-interview-handbook,💯 Curated interview preparation materials for busy engineers
moby,61800,Go,https://github.com/moby/moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
django,61247,Python,https://github.com/django/django,The Web framework for perfectionists with deadlines.
FiraCode,60923,Clojure,https://github.com/tonsky/FiraCode,Free monospaced font with programming ligatures
clean-code-javascript,60850,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript
bitcoin,60178,C++,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree
project-based-learning,60119,,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials
webpack,60004,JavaScript,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
angular.js,59575,JavaScript,https://github.com/angular/angular.js,AngularJS - HTML enhanced for web apps!
